name,category,rating,review_count,address,phone,website,google_maps_url
Abeno,Okonomiyaki restaurant,4.7,,47 Museum St,,,https://www.google.com/maps/place/Abeno/data=!4m7!3m6!1s0x48761b330c801375:0x4af6c63674203eac!8m2!3d51.5175278!4d-0.1252333!16s%2Fg%2F1td582mp!19sChIJdROADDMbdkgRrD4gdDbG9ko?authuser=0&hl=en&rclk=1
Prezzo Italian Restaurant London St Martins Lane,Italian restaurant,4.6,,116 St Martin's Ln,,,https://www.google.com/maps/place/Prezzo+Italian+Restaurant+London+St+Martins+Lane/data=!4m7!3m6!1s0x487604cdd7f7d6c3:0x33d4cd9f36a1b78e!8m2!3d51.5096819!4d-0.1271143!16s%2Fg%2F1tfdy9zd!19sChIJw9b3180EdkgRjrehNp_N1DM?authuser=0&hl=en&rclk=1
Buna Ethiopian Restaurant,Ethiopian restaurant,4.9,,87 Holloway Rd,,,https://www.google.com/maps/place/Buna+Ethiopian+Restaurant/data=!4m7!3m6!1s0x48761b333efaab95:0x994100451f05bc6f!8m2!3d51.5478084!4d-0.1062707!16s%2Fg%2F11q3y1z865!19sChIJlav6PjMbdkgRb7wFH0UAQZk?authuser=0&hl=en&rclk=1
Kolapata,Bangladeshi restaurant,4.7,,222 Whitechapel Rd,,,https://www.google.com/maps/place/Kolapata/data=!4m7!3m6!1s0x48761cd23d17008f:0xaac3d408b45e84c9!8m2!3d51.5194862!4d-0.0570812!16s%2Fg%2F1tfh446p!19sChIJjwAXPdIcdkgRyYRetAjUw6o?authuser=0&hl=en&rclk=1
Masala Zone Covent Garden,Indian restaurant,4.3,,48 Floral St,,,https://www.google.com/maps/place/Masala+Zone+Covent+Garden/data=!4m7!3m6!1s0x487604cc9dd94fe3:0x6f8bf06eb6cf8129!8m2!3d51.5133413!4d-0.1228638!16s%2Fg%2F1tjwh6p9!19sChIJ40_ZncwEdkgRKYHPtm7wi28?authuser=0&hl=en&rclk=1
Prezzo,Italian restaurant,4.5,,31-32 Northumberland Ave,,,https://www.google.com/maps/place/Prezzo/data=!4m7!3m6!1s0x487604ce9589fd65:0x707c90920ef1cdbf!8m2!3d51.5074879!4d-0.1265314!16s%2Fg%2F1tfbsc4y!19sChIJZf2Jlc4EdkgRv83xDpKQfHA?authuser=0&hl=en&rclk=1
Villa Mamas Restaurant London,Middle Eastern restaurant,4.5,,25 Elystan St,,,https://www.google.com/maps/place/Villa+Mamas+Restaurant+London/data=!4m7!3m6!1s0x4876056affe66321:0x85a436b27a4e7d02!8m2!3d51.4912705!4d-0.1672297!16s%2Fg%2F11g9fwm3k2!19sChIJIWPm_2oFdkgRAn1OerI2pIU?authuser=0&hl=en&rclk=1
Bizzarro,Italian restaurant,4.5,,18-22 Craven Rd,,,https://www.google.com/maps/place/Bizzarro/data=!4m7!3m6!1s0x48761aad4d222fcd:0xf9e7adc8973a9123!8m2!3d51.5148433!4d-0.1771808!16s%2Fg%2F1tgh715t!19sChIJzS8iTa0adkgRI5E6l8it5_k?authuser=0&hl=en&rclk=1
Fumo by San Carlo - London,Italian restaurant,4.3,,37 St Martin's Ln,,,https://www.google.com/maps/place/Fumo+by+San+Carlo+-+London/data=!4m7!3m6!1s0x487604cdd0d803e3:0x4e673aa69b8602c!8m2!3d51.5100791!4d-0.1267557!16s%2Fg%2F11cs1vqkfn!19sChIJ4wPY0M0EdkgRLGC4aapz5gQ?authuser=0&hl=en&rclk=1
Natural Kitchen,Health food restaurant,4.2,,"1A Copthall Ave, Angel Ct",,,https://www.google.com/maps/place/Natural+Kitchen/data=!4m7!3m6!1s0x48761caca57e3ef7:0x16aba8e8a2e27ff3!8m2!3d51.5155744!4d-0.0873112!16s%2Fg%2F11d_bb53bx!19sChIJ9z5-pawcdkgR83_iouioqxY?authuser=0&hl=en&rclk=1
Il Portico 🇮🇹,Italian restaurant,4.6,,277 Kensington High St,,,https://www.google.com/maps/place/Il+Portico+%F0%9F%87%AE%F0%9F%87%B9/data=!4m7!3m6!1s0x48760ff207b0ec9f:0x9bc52c25bd05a029!8m2!3d51.4985199!4d-0.199909!16s%2Fg%2F1tfrwzt1!19sChIJn-ywB_IPdkgRKaAFvSUsxZs?authuser=0&hl=en&rclk=1
Addis Restaurant,Ethiopian restaurant,4.3,,40-42 Caledonian Rd,,,https://www.google.com/maps/place/Addis+Restaurant/data=!4m7!3m6!1s0x48761b3ededff561:0x6e2e87293c729c41!8m2!3d51.532058!4d-0.120393!16s%2Fg%2F1tfh4453!19sChIJYfXf3j4bdkgRQZxyPCmHLm4?authuser=0&hl=en&rclk=1
Cherry on,Restaurant,4.6,,6 Pembridge Rd,,,https://www.google.com/maps/place/Cherry+on/data=!4m7!3m6!1s0x48760f8a540e5c43:0x4d8a859c1f0b0aa3!8m2!3d51.5093148!4d-0.1969352!16s%2Fg%2F11j8rlr2bc!19sChIJQ1wOVIoPdkgRowoLH5yFik0?authuser=0&hl=en&rclk=1
